year,month,gender,total,population_amis,population_atayal,population_paiwan,population_bunun,population_rukai,population_pinan,population_tsou,population_saisiyat,population_yami,population_thao,population_kavalan,population_truku,population_sakizaya,population_seediq,population_laaruwa,population_kanakanavu,unreported
112,4,男,7273,3558,1217,769,466,111,222,69,93,20,8,27,374,14,103,0,1,221
112,4,計,16998,8104,2929,1759,1101,253,505,181,195,54,29,52,931,36,262,1,2,604
112,5,女,9750,4549,1720,991,645,142,286,111,102,34,21,25,559,22,159,1,1,382
112,5,男,7285,3566,1213,770,471,111,223,69,93,19,8,27,377,14,102,0,1,221
112,5,計,17035,8115,2933,1761,1116,253,509,180,195,53,29,52,936,36,261,1,2,603
112,6,女,9757,4540,1732,995,642,144,284,111,105,34,21,25,560,22,159,1,1,381
112,6,男,7274,3546,1219,780,468,112,223,69,93,16,8,26,374,14,102,0,1,223
112,6,計,17031,8086,2951,1775,1110,256,507,180,198,50,29,51,934,36,261,1,2,604
112,7,女,9761,4544,1734,993,644,144,283,109,105,35,21,25,562,22,159,1,1,379
112,7,男,7277,3540,1224,782,470,113,224,69,93,17,8,25,373,14,101,0,1,223
112,7,計,17038,8084,2958,1775,1114,257,507,178,198,52,29,50,935,36,260,1,2,602
112,8,女,9754,4550,1732,993,644,142,281,110,105,35,21,25,552,22,160,2,1,379
112,8,男,7304,3557,1225,785,476,113,224,71,93,17,8,25,371,14,101,0,1,223
112,8,計,17058,8107,2957,1778,1120,255,505,181,198,52,29,50,923,36,261,2,2,602
112,9,女,9770,4562,1732,993,645,141,281,109,106,36,21,25,556,22,160,2,1,378
112,9,男,7314,3566,1227,780,477,111,225,71,93,17,8,25,373,14,102,0,1,224
112,9,計,17084,8128,2959,1773,1122,252,506,180,199,53,29,50,929,36,262,2,2,602
112,10,女,9790,4570,1734,996,646,141,283,107,107,36,21,26,558,22,162,2,1,378
112,10,男,7331,3582,1232,779,477,110,225,71,93,18,8,25,373,14,104,0,0,220
112,10,計,17121,8152,2966,1775,1123,251,508,178,200,54,29,51,931,36,266,2,1,598
112,11,女,9798,4575,1739,996,644,137,283,107,107,36,24,26,559,22,162,2,1,378
112,11,男,7330,3585,1220,783,480,109,225,72,93,18,8,25,375,14,105,0,0,218
112,11,計,17128,8160,2959,1779,1124,246,508,179,200,54,32,51,934,36,267,2,1,596
112,12,女,9813,4581,1742,998,647,137,283,108,107,37,24,26,560,22,163,2,1,375
112,12,男,7337,3584,1222,784,484,109,225,71,93,19,8,25,377,14,105,0,0,217
112,12,計,17150,8165,2964,1782,1131,246,508,179,200,56,32,51,937,36,268,2,1,592
113,1,女,9816,4580,1752,999,649,138,283,108,107,37,24,25,552,22,162,2,1,375
113,1,男,7373,3598,1236,783,480,108,226,72,95,20,8,25,382,15,107,0,0,218
113,1,計,17189,8178,2988,1782,1129,246,509,180,202,57,32,50,934,37,269,2,1,593
113,2,女,9872,4606,1765,1008,652,137,285,108,107,37,24,27,558,23,163,2,1,369
113,2,男,7473,3653,1251,787,485,107,232,74,97,26,8,25,389,15,108,0,0,216
113,2,計,17345,8259,3016,1795,1137,244,517,182,204,63,32,52,947,38,271,2,1,585
113,3,女,9966,4633,1783,1030,666,142,285,111,109,38,24,27,562,23,162,2,1,368
113,3,男,7547,3675,1277,796,494,108,233,77,98,27,8,25,392,15,108,0,0,214
113,3,計,17513,8308,3060,1826,1160,250,518,188,207,65,32,52,954,38,270,2,1,582
113,4,女,10039,4674,1802,1032,671,141,287,111,109,40,25,26,566,23,168,3,0,361
113,4,男,7645,3716,1300,806,502,108,235,76,99,26,8,25,406,15,110,0,0,213
113,4,計,17684,8390,3102,1838,1173,249,522,187,208,66,33,51,972,38,278,3,0,574
113,5,女,10127,4706,1816,1050,676,148,286,112,110,45,31,26,569,23,167,3,0,359
113,5,男,7743,3756,1318,819,510,110,241,74,99,26,11,26,412,16,111,0,0,214
113,5,計,17870,8462,3134,1869,1186,258,527,186,209,71,42,52,981,39,278,3,0,573
113,6,女,10179,4728,1823,1056,682,151,287,113,112,44,31,26,578,23,164,3,0,358
113,6,男,7788,3766,1330,822,512,114,246,73,104,26,11,27,420,16,111,0,0,210
113,6,計,17967,8494,3153,1878,1194,265,533,186,216,70,42,53,998,39,275,3,0,568
113,7,女,10244,4752,1834,1061,688,152,290,114,112,44,31,26,588,25,167,3,0,357
113,7,男,7838,3784,1339,825,518,116,252,72,104,26,11,27,424,16,113,0,0,211
113,7,計,18082,8536,3173,1886,1206,268,542,186,216,70,42,53,1012,41,280,3,0,568
113,8,女,10316,4786,1843,1072,696,151,300,111,111,44,34,26,589,25,170,3,0,355
113,8,男,7932,3826,1359,834,521,116,255,70,105,26,12,27,438,17,115,0,0,211
113,8,計,18248,8612,3202,1906,1217,267,555,181,216,70,46,53,1027,42,285,3,0,566
113,9,女,10371,4814,1840,1083,705,153,302,114,111,45,34,26,596,25,169,3,0,351
113,9,男,7995,3860,1366,842,525,118,257,73,104,26,12,26,447,16,114,0,0,209
113,9,計,18366,8674,3206,1925,1230,271,559,187,215,71,46,52,1043,41,283,3,0,560
113,10,女,10392,4823,1833,1091,714,154,302,114,112,44,34,26,598,25,171,3,0,348
113,10,男,8015,3867,1376,842,528,117,258,72,104,26,12,26,446,16,116,0,0,209
113,10,計,18407,8690,3209,1933,1242,271,560,186,216,70,46,52,1044,41,287,3,0,557
113,11,女,10396,4835,1827,1088,713,155,301,115,113,44,34,26,601,25,170,3,0,346
113,11,男,8065,3896,1388,848,529,117,262,72,104,26,12,26,450,16,113,0,0,206
113,11,計,18461,8731,3215,1936,1242,272,563,187,217,70,46,52,1051,41,283,3,0,552
113,12,女,10439,4848,1837,1099,714,157,302,116,113,44,34,26,604,24,171,3,0,347
113,12,男,8104,3915,1400,855,525,119,262,73,104,27,12,26,449,16,116,0,0,205
113,12,計,18543,8763,3237,1954,1239,276,564,189,217,71,46,52,1053,40,287,3,0,552
114,1,女,10461,4849,1844,1107,715,157,304,116,113,43,34,28,605,24,174,3,0,345
114,1,男,8145,3934,1413,861,522,119,262,73,104,27,12,27,452,16,118,0,0,205
114,1,計,18606,8783,3257,1968,1237,276,566,189,217,70,46,55,1057,40,292,3,0,550
114,2,女,10481,4861,1846,1106,717,155,308,117,113,43,35,29,608,25,172,3,0,343
114,2,男,8197,3960,1425,861,519,122,268,74,105,27,13,27,456,16,120,0,1,203
114,2,計,18678,8821,3271,1967,1236,277,576,191,218,70,48,56,1064,41,292,3,1,546
114,3,女,10490,4868,1848,1104,715,154,309,117,114,43,35,29,613,25,174,3,0,339
114,3,男,8187,3969,1419,855,516,122,267,75,104,26,13,28,455,15,123,0,1,199
114,3,計,18677,8837,3267,1959,1231,276,576,192,218,69,48,57,1068,40,297,3,1,538
114,4,女,10538,4899,1859,1113,711,155,310,117,115,42,33,31,612,25,177,3,0,336
114,4,男,8218,3987,1425,863,513,123,267,75,106,26,13,30,451,15,127,0,1,196
114,4,計,18756,8886,3284,1976,1224,278,577,192,221,68,46,61,1063,40,304,3,1,532
