"seqno","organizer","tel","extension","mobile telephone","zipcode","district","hosp_addr","type","location","mon_stime","mon_dtime","tue_stime","tue_dtime","wed_stime","wed_dtime","thu_stime","thu_dtime","fri_stime","fri_dtime","sat_stime","sat_dtime","sun_stime","sun_dtime","remark","date","battery expiration date","electrical pads expiration date"
"7526","新北市私立聖心國民小學","02-26182330","","","249","八里區","新北市八里區龍米路一段261號","學校、大型集會場所","善牧園園長室門口","08:55:00","15:55:00","08:55:00","15:55:00","08:55:00","15:55:00","08:55:00","15:55:00","08:55:00","15:55:00","","","","","2022-12-27 13:39:52","2023-01-10","",""
"1061","新北市立十三行博物館","02-26191313","","","249","八里區","新北市八里區博物館路200號","大型休閒場所","十三行博物館考古公園遊客中心","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","18:00:00","09:30:00","18:00:00","2022-11-07 17:11:58","2024-02-29","",""
"1061","新北市立十三行博物館","02-26191313*600","600","","249","八里區","新北市八里區博物館路200號","大型休閒場所","十三行博物館","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","18:00:00","09:30:00","18:00:00","2021-12-20 19:56:18","2012-03-26","2025-11-30","2024-09-30"
"9346","新北市政府環境保護局八里垃圾掩埋場(古厝)","02-26192153","","","249","八里區","新北市八里區下罟里中山路三段403號","其他","八里掩埋場(花卉溫室內)","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:56:26","2016-04-29","2025-03-31","2024-11-30"
"9346","新北市政府環境保護局八里垃圾掩埋場(古厝)","02-26192153","","","249","八里區","新北市八里區下罟里中山路三段403號","其他","八里垃圾掩埋場(古厝)","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:58:00","2016-04-29","2026-08-31","2025-09-22"
"56456","世紀鋼鐵結構股份有限公司 台北港廠","02-2619-3489","","","249","八里區","新北市八里區新北市八里區訊塘里廈竹圍7之15號","其他","辦公室門口","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:59:03","2021-06-22","",""
"5974","新北市八里垃圾焚化廠溫水游泳池(喬力達休閒管理有限公司)","02-26195111","","","249","八里區","新北市八里區中山路三段413號","其他","入口處櫃檯旁","09:00:00","21:00:00","09:00:00","21:00:00","09:00:00","21:00:00","09:00:00","21:00:00","09:00:00","21:00:00","09:00:00","21:00:00","09:00:00","21:00:00","2021-12-20 19:57:11","2014-12-04","2025-07-10","2025-03-08"
"7014","八里焚化廠(3樓中央控制室)","02-26195111分機200","200","","249","八里區","新北市八里區中山路3段409號","其他","三樓中控室","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:56:53","2020-06-15","",""
"9645","台北港埠通商股份有限公司","02-2619-5151","","","249","八里區","新北市八里區商港路133號","其他","台北港埠通商股份有限公司中控室門口","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","2021-12-20 19:58:02","","2026-08-01","2026-07-30"
"9645","台北港埠通商股份有限公司","02-2619-5151","","","249","八里區","新北市八里區商港路133號","其他","台北港埠通商股份有限公司行政大樓一樓","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","00:00:00","2021-12-20 19:58:02","","2025-06-30","2025-09-30"
"44609","臺灣港務股份有限公司基隆港務分公司臺北港營運處","02-26196007","","","249","八里區","新北市八里區商港路123號2樓","交通要衝","行政大樓2樓服務台","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","00:00:00","00:00:00","00:00:00","00:00:00","2021-12-20 19:58:53","2020-11-27","2028-07-31","2026-06-30"
"32912","港務公司臺北港營運處","02-26196012","","","249","八里區","新北市八里區廈竹圍２３號","交通要衝","新旅運中心2樓出境大廳","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","00:00:00","00:00:00","00:00:00","00:00:00","2021-12-20 19:58:45","2020-12-11","2027-12-20","2025-03-20"
"32912","港務公司臺北港營運處","02-26196083","","","249","八里區","新北市八里區廈竹圍２３號","交通要衝","臺北港行政大樓一樓旅客候船室","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:58:33","2019-12-19","2028-07-31","2026-06-30"
"32944","港務公司臺北港營運處旅客服務中心","02-26196207","","","249","八里區","新北市八里區訊塘里7鄰下竹圍23號","交通要衝","臺北港營運處旅客服務中心1樓","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:58:33","2019-12-19","2025-03-31","2025-03-31"
"8377","八里掩埋場(巨大家具再利用場)","02-29532111分機4004","4004","","249","八里區","新北市八里區下罟子63號","其他","八里掩埋場(巨大家具再利用場)","10:00:00","10:00:00","10:00:00","10:00:00","10:00:00","10:00:00","10:00:00","10:00:00","10:00:00","10:00:00","","","","","2021-12-20 19:56:25","2013-01-01","2025-03-31","2025-03-31"
"3655","新北市政府警察局蘆洲分局八里分駐所","02-8286-1666","","","249","八里區","新北市八里區訊塘路37號","其他","1樓會客室內","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:01","2014-04-28","2025-06-30","2025-03-08"
"3656","新北市政府警察局蘆洲分局龍源派出所","02-8286-1666","","","249","八里區","新北市八里區龍米路一段225號","其他","1樓入口左方辦公室旁","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:01","2014-04-28","2028-07-31","2027-02-18"
"56393","新北市林口水資源回收中心","02-86012401","","","249","八里區","新北市八里區長道坑36-3號","其他","控制中心一樓大廳門口","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","08:00:00","17:30:00","","","","","2021-12-20 19:56:59","2018-07-25","2020-08-30","2020-06-30"
"10745","新北市政府社會局委託天主教耕莘醫療財團法人永和耕莘醫院辦理新北市愛維養護中心","0286304104","","","249","八里區","新北市八里區華富山35號","其他","3樓護理站","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:56:55","2014-05-29","2026-01-01","2025-06-30"
"10422","新北市八里區大崁國民小學","02-86305678-156","","","249","八里區","新北市八里區忠八街2號","學校、大型集會場所","一樓中庭視聽中心外側","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2023-12-25 17:22:26","2024-02-27","2028-08-01","2026-08-03"
"43997","世紀離岸風電設備股份有限公司","02-89798698 #336","","","249","八里區","新北市八里區下罟里中山路三段388之5號","其他","辦公大樓一樓總機櫃台斜後方緊急出口處","09:00:00","16:00:00","09:00:00","16:00:00","09:00:00","16:00:00","09:00:00","16:00:00","09:00:00","16:00:00","","","","","2021-12-20 19:58:48","2020-09-17","",""
"3237","新北市永續環境教育中心","","","0922-330-398","249","八里區","新北市八里區觀海大道36號","大型休閒場所","正門右側外面","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","09:30:00","17:00:00","","","","","2021-12-20 19:56:49","2014-01-23","2020-05-04","2018-06-01"
"57036","觀音山楓櫃斗湖步道上四叉路口(亞洲形上觀音山揹水隊捐贈)","","","0928126958","249","八里區","新北市八里區 ","其他","觀音山楓櫃斗湖步道上四叉路口(亞洲形上觀音山揹水隊捐贈)","","","","","","","","","","","","","","","2022-12-12 16:35:22","2022-12-16","2025-10-31","2025-08-31"
"2939","新北市立圖書館八里分館","","","0953585480","249","八里區","新北市八里區舊城里舊城路19號5、6樓","大型休閒場所","新北市八里區舊城路19號5樓","08:30:00","17:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","21:00:00","08:30:00","17:00:00","2024-06-27 15:17:22","2025-01-01","2027-07-31","2027-09-30"
"11195","新北市立八里國民中學","26102016#306","","","249","八里區","新北市八里區荖阡坑路15號","學校、大型集會場所","教學大樓一樓東側樓梯之體育器材室牆面","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2021-12-20 19:58:08","2018-02-07","2029-04-02","2026-05-01"
"5684","新北市八里區長坑國民小學","26102037#119","","","249","八里區","新北市八里區中華路三段236號","學校、大型集會場所","健康中心外走廊牆上","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","18:00:00","06:00:00","16:00:00","06:00:00","16:00:00","2023-05-08 17:14:20","2024-09-01","2028-10-01","2025-10-31"
"6202","新北市八里區八里國民小學","26102217-1110","","","249","八里區","新北市八里區中山路2段338號","學校、大型集會場所","至善樓一樓幼兒園走廊","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2021-12-20 19:57:04","2014-08-13","2026-10-20","2024-06-21"
"6202","新北市八里區八里國民小學","26102217-1110","","","249","八里區","新北市八里區中山路2段338號","學校、大型集會場所","明德樓健康中心","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2021-12-20 19:57:18","2024-05-20","2028-09-01","2025-11-30"
"45450","下罟市民活動中心","2610-2621","","","249","八里區","新北市八里區中山路一段175號","其他","下罟市民活動中心","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:57:18","","2028-09-30","2025-10-31"
"10472","新北市立三芝國民中學","26362004","","","252","三芝區","新北市三芝區淡金路一段38號","學校、大型集會場所","本校學務處","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","2023-03-09 13:05:14","2024-03-19","",""
"6169","馬偕學校財團法人馬偕醫護管理專科學校(三芝校區)","26366799","","","252","三芝區","新北市三芝區中正路三段42號","學校、大型集會場所","三芝校區護理大樓1F","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","","","","","2021-12-20 19:57:06","2014-11-01","",""
"6169","馬偕學校財團法人馬偕醫護管理專科學校(三芝校區)","26366799","","","252","三芝區","新北市三芝區中正路三段42號","學校、大型集會場所","三芝校區圖書館1樓","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","","","","","2021-12-20 19:58:45","2020-11-26","",""
"6169","馬偕學校財團法人馬偕醫護管理專科學校(三芝校區)","26366799","","","252","三芝區","新北市三芝區中正路三段42號","學校、大型集會場所","三芝校區新綜合大樓1樓","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","","","","","2021-12-20 19:58:45","2020-11-26","",""
"6169","馬偕學校財團法人馬偕醫護管理專科學校(三芝校區)","26366799","","","252","三芝區","新北市三芝區中正路三段42號","學校、大型集會場所","三芝校區應幼大樓1樓","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","","","","","2021-12-20 19:58:45","2020-11-26","",""
"6169","馬偕學校財團法人馬偕醫護管理專科學校(三芝校區)","26366799","","","252","三芝區","新北市三芝區中正路三段42號","學校、大型集會場所","三芝校區學生宿舍1樓","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","","","","","2022-11-21 16:20:54","2020-11-26","",""
"6169","馬偕學校財團法人馬偕醫護管理專科學校(三芝校區)","26366799","","","252","三芝區","新北市三芝區中正路三段42號","學校、大型集會場所","三芝校區警衛室","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","00:08:00","00:17:00","","","","","2022-11-21 16:21:02","2020-11-26","",""
"8795","陽明山國家公園二子坪遊客服務站","28617294","","","252","三芝區","新北市三芝區興華里車埕53-3號","觀光旅遊地區","二子坪遊客服務站入口左側","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","2021-12-20 19:57:44","2016-02-17","",""
"45524","新北市三芝區衛生所","(02)2636-2007","","","252","三芝區","新北市三芝區中山路一段12號","其他","入口處右側","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:57:44","2016-06-27","2028-09-30","2025-10-31"
"8394","新北市政府環境保護局三芝區清潔隊(廚餘場)","(02)2636-8160","","","252","三芝區","新北市三芝區埔頭段234地號 (原:新小基隆段埔頭坑小段68-2地號_整編)","其他","大門入口正前方,地磅室內","06:30:00","17:00:00","06:30:00","17:00:00","06:30:00","17:00:00","06:30:00","17:00:00","06:30:00","17:00:00","06:30:00","17:00:00","","","2021-12-20 19:57:46","2016-04-28","2025-09-01","2027-05-01"
"3593","馬偕醫學院","0226360303分機5013","5013","","252","三芝區","新北市三芝區中正路三段46號","學校、大型集會場所","多功能活動中心","","","","","","","","","","","","","","","2021-12-20 19:56:28","","",""
"3593","馬偕醫學院","0226360303分機5013","5013","","252","三芝區","新北市三芝區中正路三段46號","學校、大型集會場所","第一教研大樓","","","","","","","","","","","","","","","2021-12-20 19:57:01","","",""
"10404","新北市三芝區三芝國民小學","02-26362005","","","252","三芝區","新北市三芝區育英街22號","學校、大型集會場所","輔導室前走廊","08:30:00","15:30:00","08:30:00","15:30:00","08:30:00","15:30:00","08:30:00","15:30:00","08:30:00","15:30:00","09:00:00","15:30:00","09:30:00","15:30:00","2021-12-20 19:58:08","2018-02-14","2026-10-26","2024-11-30"
"5692","新北市政府警察局淡水分局三芝分駐所","0226362049","","","252","三芝區","新北市三芝區埔頭里育英街27號","公眾服務單位設施","淡水分局三芝分駐所","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:05","2014-04-25","",""
"5655","新北市政府警察局淡水分局後厝派出所","0226362052","","","252","三芝區","新北市三芝區后厝里北勢子45之32號","公眾服務單位設施","淡水分局後厝派出所","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:04","2014-04-25","2024-09-30","2024-06-30"
"56735","新北市三芝區衛生所附設物理治療所","02-263623500","","","252","三芝區","新北市三芝區民生街33號1樓","其他","本院大廳","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","12:00:00","","","","","2022-11-21 16:17:16","2022-11-01","2015-07-28","2015-07-27"
"10419","新北市三芝區興華國民小學","0226371366","","","252","三芝區","新北市三芝區興華里田心子5號","學校、大型集會場所","司令台後方穿堂","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","","","","","2023-01-10 13:54:50","2025-01-01","2024-03-31","2022-10-24"
"8270","懷仁國際股份有限公司","0226371887","","","252","三芝區","新北市三芝區圓山里石曹子坑32-4","其他","懷仁聖殿","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","2021-12-20 19:57:42","2016-05-26","",""
"9825","陽明山國家公園大屯遊客服務站","02-28617294","","","252","三芝區","新北市三芝區興華里車埕53-2號","觀光旅遊地區","大屯遊客服務站展示室內","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","09:00:00","16:30:00","2021-12-20 19:56:29","2016-09-30","",""
"3270","新北市政府警察局淡水分局興華派出所","02-8072-5454#4130","4130","","252","三芝區","新北市三芝區興華里田心子1號","公眾服務單位設施","鐵馬驛站","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","00:00:00","23:59:00","2021-12-20 19:57:01","2014-04-03","2028-03-31","2024-07-31"
"11458","交通部觀光局北海岸及觀音山國家風景區管理處-三芝遊客中心","02-86355143","","","252","三芝區","新北市三芝區埔坪里埔頭坑164-2號","觀光旅遊地區","1樓大門入口右方處","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","2021-12-20 19:58:24","2019-01-01","2028-07-31","2024-07-31"
"5542","新北市三芝區橫山國民小學","","","0912796820","252","三芝區","新北市三芝區橫山里86號","學校、大型集會場所","警衛室旁","00:00:00","","","","","","","","","","","","","","2023-12-07 16:08:02","2024-03-11","",""
"56887","大屯山二子坪公園(亞洲形上觀音山揹水隊捐贈)","","","0928126958","252","三芝區","新北市三芝區 ","其他","大屯山二子坪公園(亞洲形上觀音山揹水隊捐贈)","","","","","","","","","","","","","","","2021-12-20 19:58:33","2020-01-08","2028-05-03","2024-10-08"
"56888","二子坪遊客中心(面天坪涼亭)-(亞洲形上觀音山揹水隊捐贈)","","","0928126958","252","三芝區","新北市三芝區 ","其他","二子坪遊客中心(面天坪涼亭)-(亞洲形上觀音山揹水隊捐贈)","","","","","","","","","","","","","","","2021-12-20 19:59:00","2021-04-21","2029-01-23","2029-05-14"
"56889","二子坪遊客中心(大屯坪涼亭)-(亞洲形上觀音山揹水隊捐贈)","","","0928126958","252","三芝區","新北市三芝區 ","其他","二子坪遊客中心(大屯坪涼亭)-(亞洲形上觀音山揹水隊捐贈)","","","","","","","","","","","","","","","2021-12-20 19:59:00","2021-04-02","2026-01-13","2026-01-13"
"12275","三芝福成宮","2636-2076","","","252","三芝區","新北市三芝區埔頭里中山路一段38號","其他","一樓管理室門口","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","06:00:00","21:00:00","2021-12-20 19:56:52","","",""
"9693","新北巿三芝區公所","26362111#228","","","252","三芝區","新北市三芝區中山路一段32號","其他","一樓","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","08:00:00","17:00:00","","","","","2021-12-20 19:58:02","2017-01-02","",""
"6969","新北市立圖書館三芝分館","周一、周日8:30～17:00、周二～周六8：30~19:00 (02)26362331#11","","","252","三芝區","新北市三芝區民生街31號4樓","大型休閒場所","新北市立圖書館三芝分館4樓","08:30:00","17:00:00","08:30:00","19:00:00","08:30:00","19:00:00","08:30:00","19:00:00","08:30:00","19:00:00","08:30:00","19:00:00","08:30:00","17:00:00","2024-06-27 15:17:22","2025-01-01","2025-08-31","2025-02-05"
"3314","臺灣新北地方法院三重院區","22616714","","","241","三重區","新北市三重區重新路3段145號","學校、大型集會場所","一樓大廳","08:30:00","17:30:00","08:30:00","17:30:00","08:30:00","17:30:00","08:30:00","17:30:00","08:30:00","17:30:00","","","","","2021-12-20 19:56:26","","2028-08-31","2027-03-31"
"4372","新北市三重區三光國民小學","29753308","","","241","三重區","新北市三重區大同南路157號","學校、大型集會場所","警衛室","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","08:00:00","18:00:00","16:00:00","18:00:00","16:00:00","18:00:00","2021-12-20 19:57:00","2014-05-21","2026-08-31","2025-02-01"
"55473","新北市三重區光興國民小學","29755352","","","241","三重區","新北市三重區正義南路62號","學校、大型集會場所","光興國小","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","08:00:00","16:00:00","","","","","2024-03-19 17:41:17","2024-04-01","2028-12-01","2025-11-01"
"3355","新北市三重區社教館","29777005","","","241","三重區","新北市三重區集美街60號","其他","社教館一樓展覽廳","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","09:00:00","17:00:00","","","","","2021-12-20 19:56:42","2013-12-12","2027-09-01","2025-02-01"
"2930","天台戲院股份有限公司","29787700","","","241","三重區","新北市三重區重新路2段78號4樓","大型休閒場所","4樓售票處前方","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","10:00:00","23:00:00","2024-01-17 09:06:04","2025-01-08","2027-09-30","2026-05-31"
