場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點
國立臺北藝術大學(女生第一宿舍),學園路1號 女生第一宿舍,63000120,25.136049,121.471599,學校、大型集會場所,大專院校,女生第一宿舍
全創適能有限公司 / 橡體有限公司,中山北路1段33巷25號,63000040,25.048546,121.523022,學校、大型集會場所,健身房,面對啞鈴區左側柱上
硫磺谷泡腳池,泉源路77號斜對面，陽明山國家公園硫磺谷遊憩區內,63000120,25.143561,121.521943,大型公眾浴場或溫泉區,溫泉區,管理室旁置物櫃上
復興公園泡腳池,中和街61號對面,63000120,25.138819,121.502198,大型公眾浴場或溫泉區,溫泉區,管理室前置物櫃上
泉源公園泡腳池,珠海路155號(義方國小)正對面,63000120,25.141783,121.509722,大型公眾浴場或溫泉區,溫泉區,置櫃物旁
臺北市立桃源國民中學,中央北路4段48號,63000120,25.134647,121.4773,其他,其他場所,學務處
臺北市大同運動中心,大龍街51號,63000060,25.064769,121.516146,學校、大型集會場所,健身中心,1樓梯廳
陽光健身(Sunshine Fitness),忠孝東路4段60號2樓,63000030,25.041393,121.545321,學校、大型集會場所,健身房,2樓健身房入口門後
臺北市大安區公館國民小學,基隆路4段41巷68弄2號,63000030,25.012408,121.542808,其他,其他場所,學校穿堂
健安新城D社區管理委員會,三民路35巷2號,63000010,25.055708,121.563252,其他,其他場所,管理中心門外
拳適能館,景美街1-4號,63000080,24.99422,121.541732,學校、大型集會場所,健身房,台北市文山區景美街1-4號
Curves女性專用30分鐘健身中心市府永春店,忠孝東路5段259號3樓,63000020,25.041187,121.570785,學校、大型集會場所,健身房,門口進來右側
Curves女性30分鐘環狀運動石牌店,裕民一路30號2樓,63000120,25.11654743,121.516985,學校、大型集會場所,健身房,櫃台左前方
台灣歐姆龍健康事業股份有限公司,復興北路367號9樓,63000010,25.061747,121.544499,其他,其他場所,辦公區
潤泰建設股份有限公司(CITYLINK內湖店),成功路四段188號1樓,63000100,25.083992,121.594264,大型購物場所,商場,一樓服務台旁
香港商世界健身事業有限公司台北民權西分公司,民權西路136號一樓,63000060,25.062735,121.516484,學校、大型集會場所,健身房,B1入口處
Curves可爾姿女性專用30分鐘環狀運動圓山花博店,承德路三段223-1號1樓,63000060,25.07012863,121.5186544,學校、大型集會場所,健身房,運動區落地窗角落
曼都整形外科診所,南京東路二段76號7樓,63000040,25.051901,121.530769,其他,其他場所,櫃台旁
沅利建設股份有限公司,汀洲路四段281號,63000080,25.000028,121.535611,其他,其他場所,一樓警衛室
Force Fitness 中正,南昌路一段123號2樓之2,63000050,25.029942,121.518307,學校、大型集會場所,健身房,置物櫃門前
健身工廠石牌廠,裕民六路2號B1,63000120,25.114496,121.515561,其他,其他場所,啞鈴區牆上
穆樂牙醫診所,敬業二路69巷61號,63000040,25.082035,121.552802,其他,其他場所,牙醫診所玄關
國立歷史博物館南海行政辦公室,南海路20號9樓,63000050,25.03249266,121.5170109,其他,其他場所,9樓大門入口旁
To Do Fitness,南京東路四段15號3樓之一,63000010,25.051923,121.550034,學校、大型集會場所,健身房,店門口旁
臺北市立木柵高級工業職業學校,木柵路四段77號,63000080,24.996002,121.571925,學校、大型集會場所,高中職,健康中心
神旺商務酒店,南京東路1段128號,63000040,25.051864,121.527041,其他,其他場所,一樓柏晶廳
Curves女性專用30分鐘健身中心復興民權店,復興北路331號2樓,63000010,25.059676,121.544425,大型休閒場所,運動場館(如小巨蛋),Curves復興民權店
Curves女性專用30分鐘健身中心中山錦州店,中山北路二段115巷45號1樓,63000040,25.060968,121.524667,學校、大型集會場所,健身房,門口進入左前方
華信航空股份有限公司,台北市松山區敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,B-16857飛機
雙園國中室內綜合球館-舞動陽光有限公司,西園路二段320巷55弄3號5樓,63000070,25.027812,121.491591,學校、大型集會場所,健身中心,雙園國中綜合大樓5樓
Start Fitness,金山南路二段134號,63000030,25.029581,121.526323,學校、大型集會場所,健身房,地下一樓
臺北巿松山運動中心,敦化北路1號,63000010,25.048607,121.550231,學校、大型集會場所,健身中心,一樓大廳
臺北市私立光仁國民小學,萬大路423巷15號,63000070,25.021416,121.499571,其他,其他場所,校門口警衛室
國立傳統藝術中心臺灣戲曲中心,文林路751號,63000110,25.10234,121.519078,大型休閒場所,演藝廳,小表演廳
國立傳統藝術中心臺灣戲曲中心,文林路751號,63000110,25.10234,121.519078,大型休閒場所,演藝廳,大表演廳
國立傳統藝術中心臺灣音樂館,文林路751號,63000110,25.102218,121.520049,大型休閒場所,演藝廳,臺灣音樂館
國立傳統藝術中心臺灣戲曲中心,文林路751號,63000110,25.10234,121.519078,大型休閒場所,演藝廳,B2停車場管理室
衛生福利部中央健康保險署臺北業務組,公園路15之1號5樓,63000050,25.044786,121.517406,其他,其他場所,聯合服務中心一樓領卡櫃台左側
臺北市南港老人服務暨日間照顧中心,重陽路187巷5號,63000090,25.057718,121.598498,其他,其他場所,二樓日間照顧中心外
微風置地股份有限公司南山分公司,松智路17號,63000020,25.034307,121.565955,大型購物場所,百貨業,ATRE 3F
微風置地股份有限公司南山分公司,松智路17號,63000020,25.034307,121.565955,大型購物場所,百貨業,B2F服務台旁
微風置地股份有限公司南山分公司,松智路17號,63000020,25.034307,121.565955,大型購物場所,百貨業,微風南山46電梯旁
國立臺北大學民生校區,民生東路3段67 號,63000040,25.057956,121.54237,學校、大型集會場所,大專院校,校門口警衛室
內湖郵局,民權東路六段83號,63000100,25.0693178,121.5880759,其他,其他場所,後門警衛室
森林跑站大安館,新生南路二段60號1樓,63000030,25.02841,121.534155,其他,其他場所,運動按摩室
內政部警政署保安警察第六總隊第二大隊第四中隊,瑞光路63號,63000100,25.070544,121.582828,其他,其他場所,值班台左側牆面
英雄豪傑體能訓練有限公司（YELLOW training studio）,濟南路三段31號1樓,63000030,25.0403206,121.5353615,大型休閒場所,運動場館(如小巨蛋),台北市大安區濟南路三段31號1樓
臺北郵局快捷郵件科快捷收發股,忠孝西路一段120號,63000050,25.04729395,121.5114587,其他,其他場所,臺北郵局快捷郵件科快捷收發股
臺北典藏植物園,濱江街16號,63000040,25.07120249,121.5319132,其他,其他場所,臺北典藏植物園 服務台
臺北市文山運動中心,興隆路三段222號,63000080,24.997017,121.559673,學校、大型集會場所,健身中心,六樓綜合球場外
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,"B-50005航機, 第13排 DEF行李艙"
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,"B-50017航機, 第13排 DEF行李艙"
好習慣健康企業有限公司（好習慣運動教室),復興北路217號,63000010,25.054159,121.563862,學校、大型集會場所,健身房,側門門口
台北美福大飯店,樂群二路55號,63000040,25.080489,121.553897,其他,其他場所,4樓健身中心護理站門旁邊
臺北市私立文德女子高級中學,成功路3段70號,63000100,25.077971,121.588976,學校、大型集會場所,高中職,海星樓一樓穿堂
世新大學,試院路148號,63000080,24.989821,121.54634,學校、大型集會場所,大專院校,大禮堂4樓體育館
萬海航運股份有限公司(敦北辦公室),敦化北路122號10樓,63000010,25.054305,121.548439,其他,其他場所,大門右側
康博健康生技股份有限公司,復興南路一段227號1樓,63000030,25.03853238,121.5439129,其他,其他場所,1樓走廊前
陽明山國家公園擎天崗中央步道0.5K處牧場教育解說中心(亞洲形上觀音山揹水隊捐贈),菁山路101巷246號,63000110,25.16720989,121.5742138,其他,其他場所,陽明山國家公園擎天崗中央步道0.5K處牧場教育解說中心(亞洲形上觀音山揹水隊捐贈)
臺北市政府工務局道路挖掘管理中心,和平西路一段59號,63000050,25.026712,121.519489,其他,其他場所,台北市中正區和平西路一段59號
臺北市政府工務局新建工程處養護工程隊第五分隊,致遠三路158號,63000120,25.121837,121.508934,其他,其他場所,北投區致遠三路158號2樓
臺北市政府工務局新建工程處養護工程隊第三分隊,中華路二段680號,63000070,25.024133,121.51169,其他,其他場所,2樓
超越體能顧問有限公司東門門市,信義路二段28號一樓,63000030,25.0346715,121.5253249,學校、大型集會場所,健身房,前區蹲舉架旁
台灣人壽保險股份有限公司(台北分公司),許昌街17號16樓,63000050,25.034594,121.521664,其他,其他場所,保戶櫃台大廳
大湖璞旅,成功路五段462號3樓,63000100,25.0733914,121.6064016,旅宿場所,旅館,一樓大廳
財團法人臺灣敦睦聯誼會所屬作業組織圓山大飯店,中山北路4段1巷1號,63000040,25.078611,121.526287,旅宿場所,旅館,1樓大廳諮詢櫃檯旁邊
臺北市政府工務局新建工程處養護工程隊(南港保養場),向陽路139號,63000090,25.05542,121.593863,其他,其他場所,辦公樓二樓入口處
臺北市萬華區西門國民小學,成都路98號,63000070,25.043172,121.503597,其他,其他場所,游泳池
南湖高中運動中心,康寧路三段220號,63000100,25.066822,121.610897,學校、大型集會場所,健身中心,游泳池階梯看台
臺北市南海發展中心,延平南路207號1、2樓,63000050,25.032802,121.507474,其他,其他場所,1樓公共走道
元大金控大樓暨元大銀行,敦化南路一段66號,63000010,25.04732,121.548438,其他,其他場所,B1公共空間
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,六樓大廳
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,B3F中控室
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,17樓健身房
臺北捷運台北車站R10,忠孝西路1段49號,63000050,25.04623,121.517646,交通要衝,捷運站,捷運淡水信義線台北車站B3層1號詢問處旁(付費區)
潤泰建設股份有限公司(CITYLINK松山貳號店),市民大道六段131號1樓,63000010,25.049634,121.579136,其他,其他場所,1樓電梯旁
陽明山臻愛樓,泉源路220號,63000120,25.1412,121.527217,學校、大型集會場所,殯儀館,大廳電梯旁
冠樺生活股份有限公司(環球購物中心南港車站店),忠孝東路七段371號B1,63000090,25.052896,121.60726,大型購物場所,商場,B1A層中央旋轉樓梯後方
七星公園-苗圃涼亭(亞洲形上觀音山揹水隊捐贈), ,63000120,25.15149182,121.5465617,其他,其他場所,七星公園-苗圃涼亭(亞洲形上觀音山揹水隊捐贈)
七星山公園-七星山公園廁所旁(亞洲形上觀音山揹水隊捐贈), ,63000110,25.16405687,121.5570392,交通要衝,機場,七星山公園-七星山公園廁所旁(亞洲形上觀音山揹水隊捐贈)
七星公園-雙層涼亭(亞洲形上觀音山揹水隊捐贈), ,63000110,25.16567508,121.5640096,其他,其他場所,七星公園-雙層涼亭(亞洲形上觀音山揹水隊捐贈)
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58206
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58210
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58302
德明財經科技大學(綜合大樓),環山路1段56號,63000100,25.086706,121.565225,學校、大型集會場所,大專院校,學生宿舍1F電梯口
臺北市私立薇閣高級中學,珠海路50號,63000120,25.138874,121.503907,學校、大型集會場所,高中職,綜合大樓一樓健康中心前
臺北市北投區湖山里辦公處,湖山路一段48之2號,63000120,25.154443,121.540675,其他,其他場所,湖山路一段48-2號
山水樂會館,中和街20巷6號,63000120,25.1382,121.504,旅宿場所,飯店,山水樂1F櫃台
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,"B-50015航機, 第13排 DEF行李艙"
故事工廠永安藝文館,木新路二段156-1號,63000080,24.98445,121.568944,大型休閒場所,博物館,故事工廠永安藝文館
第一商業銀行信用卡處(中山大樓),中山北路二段61號5樓,63000040,25.056177,121.522992,其他,其他場所,中山大樓5樓
台灣飛利浦股份有限公司(台北),市民大道六段288號10樓之6,63000020,25.04921453,121.5791373,其他,其他場所,台灣飛利浦接待大廳
皇池溫泉御膳館,行義路402巷42之1號,63000120,25.139586,121.53015,大型公眾浴場或溫泉區,大型公眾浴場,1館櫃台旁
跑者肌地有限公司(跑者肌地),新生北路三段84巷47號,63000040,25.067585,121.526121,學校、大型集會場所,健身房,進門左側
四獸山-象山95峰(亞洲形上觀音山揹水隊捐贈), ,63000020,25.03661554,121.5875426,其他,其他場所,四獸山-象山95峰(亞洲形上觀音山揹水隊捐贈)
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,達賢圖書館2樓
台灣之星電信股份有限公司,堤頂大道2段239號6樓,63000100,25.078695,121.567116,其他,其他場所,6樓梯廳
馬槽花藝商行陽明營業所,竹子湖路251巷20號,63000110,25.188826,121.569343,大型公眾浴場或溫泉區,大型公眾浴場,大眾池收票台左側
超力達工作室(臺北市健力訓練站),大同街137號,63000120,25.135034,121.498594,學校、大型集會場所,健身房,進門右側
全球人壽保險股份有限公司,市民大道六段288號4樓,63000020,25.049366,121.579005,其他,其他場所,全球人壽17樓
臺北市立北投幼兒園,明德路208巷5號1樓,63000120,25.113142,121.522624,其他,其他場所,1樓活動室
陽明山國家公園冷水坑遊客服務站,菁山路101巷170號,63000110,25.165613,121.56391,觀光旅遊地區,國家公園,冷水坑公共溫泉浴室
V Line Fitmess,中正路187巷2號1樓,63000110,25.095354,121.5271348,學校、大型集會場所,健身房,沙發旁
臺北市文山區明道國民小學,木柵路二段138巷61號,63000080,24.98732,121.562581,其他,其他場所,明道國小明道樓1樓
健生活 Living Fitness(艾斯克健身有限公司),林森北路96號2樓,63000040,25.049954,121.524643,其他,其他場所,進門左轉柱子旁
東吳大學(雙溪校區),臨溪路70號,63000110,25.094004,121.546276,學校、大型集會場所,大專院校,機車停車場管理哨
亞東百貨股份有限公司遠企分公司,敦化南路二段203號,63000030,25.0263107,121.5493623,大型購物場所,百貨業,遠企購物中心
華信航空股份有限公司,台北市松山區敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,B16859飛機
金普頓大安酒店(KIMPTON DA NA HOTEL),仁愛路四段27巷25號,63000030,25.040425,121.545523,旅宿場所,旅館,二樓健身房
衛生福利部食品藥物管理署(昆陽大樓),昆陽街161之2號,63000090,25.048951,121.594442,其他,其他場所,本署大門右側
衛生福利部食品藥物管理署(F棟),研究院路一段130巷109號,63000090,25.04767825,121.6112851,其他,其他場所,大門右側
合作金庫商業銀行-西門分行,昆明街77號,63000070,25.04320749,121.5049533,其他,其他場所,1樓往2樓櫃台旁
椰子林溫泉會館,行義路269號,63000120,25.137625,121.527753,大型公眾浴場或溫泉區,溫泉區,6號間
櫻崗溫泉會館有限公司,行義路300巷3之1號1、2樓,63000120,25.139728,121.528991,大型公眾浴場或溫泉區,溫泉區,櫻崗溫泉會館
山之林SPA溫泉美食餐廳,行義路402巷15號,63000120,25.141605,121.52962,大型公眾浴場或溫泉區,溫泉區,櫃台
祿翊健康事業有限公司（FOCUS TRAINING專注訓練空間),南京東路五段208號2樓,63000010,25.051162,121.564946,學校、大型集會場所,健身房,門口
台北記憶倉庫,忠孝西路一段265號,63000050,25.047901,121.51217,大型休閒場所,博物館,記憶倉庫
給力健身房林森店,林森北路381號B1,63000040,25.058537,121.525639,大型休閒場所,運動場館(如小巨蛋),健身區
臺北市立萬華幼兒園,梧州街36號,63000050,25.0373367,121.497512,學校、大型集會場所,國小,台北市萬華區梧州街36號
台北美國學校,11152 中山北路六段 800號,63000110,25.1164004,121.5301123,學校、大型集會場所,高中職,Mobile Athletic Trainer’s AED
臺北市文山區萬福國民小學,羅斯福路5段170巷32號,63000080,25.004893,121.536712,學校、大型集會場所,國小,川堂
聖宜診所(忠孝),敦化南路一段232巷8號1樓,63000030,25.04081019,121.5476622,其他,其他場所,聖宜診所
豪景大酒店,環河南路一段77號,63000070,25.044624,121.501439,其他,其他場所,四F健身房內
豪景大酒店,環河南路一段77號,63000070,25.044624,121.501439,其他,其他場所,大廳大門左方等待區電腦旁
臺北市文山運動中心,興隆路三段222號,63000080,24.997017,121.559673,學校、大型集會場所,健身中心,2樓大廳
臺北市立大學天母校區,忠誠路二段101號,63000110,25.115897,121.537253,學校、大型集會場所,大專院校,行政大樓一樓警衛室
菲律賓首都銀行台北分行,忠孝東路四段107號2樓,63000030,25.041841,121.548326,其他,其他場所,2樓營業大廳
交通部高速公路局北區養護工程分局木柵工務段,新光路2段100號,63000080,25.001125,121.596603,其他,其他場所,辦公大1樓入口大廳
交通部高速公路局北區養護工程分局內湖工務段,民權東路6段206巷143弄93號,63000100,25.06466,121.598111,其他,其他場所,交通部高速公路局北區養護工程分局內湖工務段
台糖台北會館,光復里中華路一段39號,63000050,25.04542,121.509521,其他,其他場所,台糖台北會館
動動MoveMove體適能教室,士東路９１巷３６號1F,63000110,25.112997,121.528655,學校、大型集會場所,健身房,動動櫃檯旁邊
合作金庫商業銀行集中作業中心,延平南路85號6樓,63000050,25.04338689,121.5108022,其他,其他場所,台北市中正區延平南路85號6樓
家福股份有限公司三民分公司(家樂福三民店),三民路160號,63000010,25.061641,121.563347,大型購物場所,賣場,地下一樓賣場入口
社團法人中華民國軍人之友社台北國軍英雄館,長沙街1段20號,63000050,25.040286,121.508698,其他,其他場所,一樓大廳服務櫃檯旁
美亞商旅股份有限公司,忠孝西路1段50號3~5F,63000050,25.046495,121.515575,旅宿場所,飯店,5樓大廳
內政部國家公園署陽明山國家公園管理處陽明書屋管理站,台北市北投區中興路12號,63000120,25.162652,121.540594,觀光旅遊地區,國家公園,服務站內
陽明山國家公園天溪園生態教育中心,至善路3段336巷45號,63000110,25.132304,121.592613,觀光旅遊地區,國家公園,服務站入口進入左側處
絕色影城股份有限公司,漢中街52號10樓,63000070,25.043824,121.507196,大型休閒場所,電影片映演場所(戲院、電影院),10樓
台北漁產運銷股份有限公司,萬大路華中橋下堤外拍賣場,63000070,25.013594,121.495496,其他,其他場所,拍賣場
台北捷運行政大樓,中山北路2段48巷7號,63000040,25.055752,121.521197,其他,其他場所,捷運行政大樓一樓大廳
國立臺北商業大學,濟南路一段321號,63000050,25.041874,121.525656,學校、大型集會場所,大專院校,環境暨健康保健組
銓敘部,試院路1-2號,63000080,24.988883,121.548751,其他,其他場所,銓敘部銓政樓1樓
日勝生加賀屋國際溫泉飯店,光明路236號,63000120,25.135921,121.50689,大型公眾浴場或溫泉區,溫泉區,4樓櫃檯後方
臺北市民族實驗國民中學,羅斯福路4段113巷13號,63000030,25.011186,121.538874,學校、大型集會場所,國中,警衛室
臺北市立仁愛國民中學(藍鯨游泳學校仁愛校區),仁愛路四段130號,63000030,25.036522,121.551945,其他,其他場所,藍鯨游泳學校仁愛校區櫃台
臺北市私立喬治高級工商職業學校,基隆路二段155號,63000020,25.025907,121.554505,學校、大型集會場所,高中職,浩然樓1樓教務處內
國泰商旅股份有限公司民生分公司(和逸飯店台北民生館),民生東路二段178號,63000040,25.057653,121.536162,其他,其他場所,2F The Lounge
Xjumping 68跳床俱樂部南京店,南京東路五段268號三樓,63000010,25.051139,121.566723,學校、大型集會場所,健身中心,休憩區
國泰商旅股份有限公司忠孝分公司(和逸飯店台北忠孝館),忠孝東路1段31號,63000050,25.04246,121.53565,其他,其他場所,2樓餐廳
天龍興業股份有限公司(天龍三溫暖),重慶北路一段73號9樓,63000060,25.052151,121.514191,大型公眾浴場或溫泉區,大型公眾浴場,大廳
艋舺就業服務站,艋舺大道101號3樓,63000070,25.033444,121.501374,其他,其他場所,艋舺就業服務站
臺北市立興雅國民中學,松德路168巷15號,63000020,25.03642,121.572237,學校、大型集會場所,國中,川堂
天母國際聯誼會,中山北路六段88號B1,63000110,25.104917,121.525007,學校、大型集會場所,健身房,B2健身房前
斜槓人生實業有限公司（FITLAB健身試驗所),東湖路126號2樓,63000100,25.06805,121.616441,學校、大型集會場所,健身房,櫃檯旁
新動力體能顧問有限公司,八德路三段212號4樓,63000010,25.048003,121.556747,其他,其他場所,入口左側
布勒斯運動顧問,復興北路446號,63000040,25.059159,121.547119,學校、大型集會場所,健身房,健身房
飛健身合作社,永興路一段32巷3弄14號,63000120,25.138462,121.500866,學校、大型集會場所,健身房,飛健身合作社
找時間動一動俱樂部,明水路581巷25號地下一樓,63000040,25.080141,121.550504,學校、大型集會場所,健身房,找時間動一動俱樂部櫃台前
REFINE FITNESS,中正路122號及122號之一地下一樓,63000110,25.094737,121.524813,學校、大型集會場所,健身房,入口閘門左側柱子
中華學校財團法人中華科技大學,研究院路3段245號,63000090,25.033596,121.609889,學校、大型集會場所,大專院校,圖書館一樓
中華學校財團法人中華科技大學,研究院路3段245號,63000090,25.033596,121.609889,學校、大型集會場所,大專院校,學苑一樓入口(男生宿舍)
國立臺灣藝術教育館-南海劇場,南海路47號,63000050,25.031741,121.511894,大型休閒場所,演藝廳,南海劇場1樓大廳
元大銀行中正分行,漢口街一段45號3樓,63000050,25.045296,121.512606,其他,其他場所,3樓辦公場所
Fun Fitness運動旅程 士林館,中山北路5段519號2樓,63000110,25.094023,121.527813,其他,其他場所,櫃檯
威利體有限公司,景文街41號2樓,63000080,24.992921,121.57125,其他,其他場所,二樓
時代國際飯店股份有限公司(台北W飯店)安全部,忠孝東路5段10號,63000020,25.039943,121.56688,旅宿場所,飯店,12F
台北市中山區錦州街基地公共住宅新建工程,吉林段三小段982地號土地,63000040,25.05908,121.526982,其他,其他場所,台北市中山區吉林段三小段982地號土地
釋放體能工作室,昆明街79號2樓之2,63000070,25.04286349,121.5048711,學校、大型集會場所,健身房,工作室門口
喬傑瑞國際有限公司(HIVE FITNESS瘋動健身工作室),興隆路四段54-8號,63000080,24.985844,121.561032,其他,其他場所,櫃台處
至上電子股份有限公司,港墘路189號6樓,63000100,25.075678,121.574767,其他,其他場所,六樓
Fun Fitness運動旅程 公館館,羅斯福路三段272號7樓,63000050,25.016753,121.531941,其他,其他場所,櫃檯
晶華國際酒店股份有限公司,中山北路2段39巷3號,63000040,25.054187,121.52424,旅宿場所,飯店,飯店大廳
晶華國際酒店股份有限公司,中山北路2段39巷3號,63000040,25.054187,121.52424,旅宿場所,飯店,員工出入口
晶華國際酒店股份有限公司,中山北路2段39巷3號,63000040,25.054187,121.52424,旅宿場所,飯店,地下三樓健身房
健鑫體適能有限公司(FREE POWER 器材代購買賣),新生北路一段83號地下室,63000040,25.05085,121.528306,學校、大型集會場所,健身房,地下室
F45 Training Neihu,瑞光路358巷38弄一號1F,63000100,25.075892,121.57279,其他,其他場所,健身工作室
時代國際飯店股份有限公司(台北W飯店)安全部,忠孝東路5段10號,63000020,25.039943,121.56688,旅宿場所,飯店,10樓迎賓櫃檯後方
第一商業銀行延平大樓,延平南路38號,63000050,25.04618843,121.5106789,其他,其他場所,大門入口左側、客戶等候椅旁邊
第一商業銀行永春分行,忠孝東路五段451號,63000020,25.041104,121.576252,其他,其他場所,大門進入右側數位體驗區處
第一商業銀行延吉分行,忠孝東路四段289號,63000030,25.041701,121.554714,其他,其他場所,一樓大廳進入後左側
第一商業銀行內湖分行,成功路3段143、145號,63000100,25.07958,121.590008,其他,其他場所,一樓大廳右側客戶寫字檯旁邊
第一商業銀行民生分行,民生東路3段131號,63000010,25.057932,121.547848,其他,其他場所,大門進入後右側、數位體驗區旁邊
第一商業銀行新生分行,南京東路二段8號,63000040,25.051905,121.528598,其他,其他場所,一樓大廳進入後右側
第一商業銀行華山分行,長安東路1段22號,63000040,25.048894,121.525036,其他,其他場所,一樓大廳進入後右側
第一商業銀行總行營業部,重慶南路1段30號,63000050,25.041934,121.513307,其他,其他場所,一樓營業大廳左側健康量測站旁邊
第一商業銀行天母分行,忠誠路一段62號,63000110,25.104853,121.527387,其他,其他場所,大門進入後左側、客戶公用電腦旁邊
第一商業銀行敦化分行,敦化南路2段267號,63000030,25.02525,121.549142,其他,其他場所,大門左側上二樓樓梯旁
時代國際飯店股份有限公司(台北W飯店) 健身房,忠孝東路5段10號,63000020,25.040671,121.565975,旅宿場所,飯店,12樓健身中心
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,研一女舍
國立臺灣大學(長興校區),長興街50號,63000030,25.016473,121.544436,學校、大型集會場所,大專院校,男一舍
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,女一舍
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,圖書館
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,國青宿舍
國立臺灣大學(水源校區),思源街18號,63000050,25.013948,121.530447,學校、大型集會場所,大專院校,水源校區修齊會館
財團法人臺灣敦睦聯誼會所屬作業組織圓山大飯店,中山北路4段1巷1號,63000040,25.078611,121.526287,旅宿場所,旅館,聯誼會孔二故居
華信航空股份有限公司,台北市松山區敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,B-16862飛機
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,女九舍
馬偕學校財團法人馬偕醫護管理專科學校(關渡校區),聖景路92號,63000120,25.12194737,121.4645596,學校、大型集會場所,大專院校,關渡校區警衛室
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,女四舍
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,新生大樓
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,語文中心
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,舊體育館
國立臺灣大學(水源校區),思源街18號,63000050,25.013948,121.530447,學校、大型集會場所,大專院校,水源校區C棟宿舍
國立臺灣大學(長興校區),長興街50號,63000030,25.016473,121.544436,學校、大型集會場所,大專院校,男七舍
國立臺灣大學(校總區),羅斯福路4段1號,63000030,25.016323,121.534463,學校、大型集會場所,大專院校,普通大樓
城市學校財團法人臺北城市科技大學,學園路2號,63000120,25.133617,121.468879,學校、大型集會場所,大專院校,圖資大樓3樓入口處
彰化商業銀行中崙分行,八德路二段201號,63000040,25.0467443,121.5392342,其他,其他場所,接待大廳保全座位旁
馬偕學校財團法人馬偕醫護管理專科學校(關渡校區),聖景路92號,63000120,25.12194737,121.4645596,學校、大型集會場所,大專院校,關渡校區慈輝樓4樓
太平洋崇光百貨股份有限公司天母分公司,中山北路六段77號,63000110,25.104745,121.524536,大型購物場所,百貨業,SOGO天母店1樓北大門旁
太平洋崇光百貨股份有限公司敦化分公司,敦化南路一段246號,63000030,25.040432,121.548315,大型購物場所,百貨業,4樓貴賓廳前
太平洋崇光百貨股份有限公司,忠孝東路四段45號,63000030,25.041893,121.544667,大型購物場所,百貨業,1樓西後出口
太平洋崇光百貨股份有限公司復興分公司,忠孝東路三段300號,63000030,25.041442,121.543082,大型購物場所,百貨業,B2樓手扶梯旁
推動力體適能運動有限公司（PUSH Fitness),和平東路二段163號1樓,63000030,25.025329,121.541535,學校、大型集會場所,健身房,台北市大安區和平東路二段163號1樓
長源汽車台北服務廠,濱江街321號,63000040,25.0725,121.547395,其他,其他場所,1F
臺北市立美術館,中山北路三段181號,63000040,25.072594,121.524852,其他,其他場所,南進門入口
動動MOVEMOVE體適能教室-天母館,士林區士東路91巷49號,63000110,25.113727,121.529745,學校、大型集會場所,健身房,台北市士林區士東路91巷49號
台北寒舍喜來登大飯店,忠孝東路1段12號,63000050,25.044786,121.522318,旅宿場所,飯店,一樓安全室外面
和泰汽車股份有限公司,松江路121號4樓,63000040,25.052523,121.533406,其他,其他場所,4樓大廳
北投麗禧溫泉酒店,幽雅路30號,63000120,25.137952,121.514833,旅宿場所,旅館,一樓大廳櫃台旁
